,t,RSI_Total,Adv_Total,Hill_Total,Jack_Total,Tiered_Total,Loser_Total,Random_Total,Pred_Total,Insider_Total
0,10502,399143.80964,398685.30787213787,400457.25870000006,393721.28073263384,396400.3777148254,398600.90735000005,404079.538309712,397659.5633085458,398595.0602509843
0,10503,399099.22564,398510.1353319057,400233.6887000001,393709.5146985037,396345.10237453657,398554.48735000007,403748.18956583564,397612.84014598286,398613.95354554354
0,10504,399010.12764,398215.0808727698,399839.74870000005,393418.93500711257,396326.67726110696,398262.69735000003,403098.60994408146,397502.3404749377,398559.01228213724
0,10505,399071.93764,398401.31153726764,400080.5787,393586.3511394857,396400.3777148254,398421.58735000005,403432.58475840493,397592.758513356,398627.7923778793
0,10506,399069.01264000003,398376.8701196745,400046.4587,393589.4989237479,396418.80282825493,398412.85735000006,403354.34001474566,397597.54111066705,398650.6433208003
0,10507,398996.34864000004,398103.9319090699,399680.1087000001,393391.37000490277,396437.2279416846,398186.6173500001,402710.00991969777,397525.11979750753,398659.8558775151
0,10508,398951.87764,398006.7339597406,399579.0187000001,393401.918328759,396216.1265805293,398215.1273500001,402759.3885039328,397428.5633598047,398549.46564854
0,10509,398973.23964000004,398137.67400291003,399751.11870000005,393345.94463061367,396197.70146709966,398215.77735000005,403080.2395939114,397425.52883561375,398461.7922582386
0,10510,398915.20664,398007.30168078386,399612.9087000001,393352.5055103848,395921.3247656557,398244.0573500001,403121.74549696327,397302.2030709905,398323.6039075165
0,10511,398944.27264,398031.17537733377,399609.0887,393270.8715305058,396197.70146709966,398130.70735000004,402837.6317198198,397394.96241545293,398461.6318066362
0,10512,398890.12864,397898.4778861457,399460.6487000001,393256.18495430314,395976.6001059445,398130.70735000004,402806.1410101761,397288.1697334215,398351.08112605853
0,10513,398893.06864,397920.59413467697,399483.0487,393184.7355089199,396013.45033280365,398076.88735000003,402811.38857907057,397289.31791324774,398331.9605645204
0,10514,398841.13864,397783.24630536546,399312.00870000006,393059.9728133769,395902.899652226,397971.10735,402633.9038367685,397200.3639241364,398242.3485813123
